rep,id,beta,k,p,c,delta,delta_E,Kd,xi,d_E,a,tau
3,110,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,111,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,111,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,111,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,112,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,112,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,112,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,201,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,201,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,201,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,204,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,204,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,204,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,207,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,207,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,207,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,209,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,209,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,209,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,301,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,301,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,301,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,302,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,302,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,302,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,304,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
2,304,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
3,304,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
1,307,9e-05,4,0.04,20,0.962711,7.55989e-13,9.97368e+07,0.0314505,1.95644e-12,3.3997e-06,3.64249e-05
