"RT_IFI27" "RT_CD177" "RT_HLADRA" "array_CD177" "array_IFI27" "array_HLADRA"
"71" 11.4 NA NA 9.19445959607066 16.8605807709111 11.6049221549299
"72" 5 NA NA 15.1784485266442 12.4155386305939 10.3042787727985
"73" 2.9 NA NA 12.966799350237 14.296767470389 11.1885707342385
"74" -0.9 1.4 4.01 12.8105703407517 16.3669095432728 11.5931986769457
"75" 6.1 0.87 7.26 14.816622525123 9.13421906752739 10.7077590590921
"76" 2.2 NA NA 9.54294200000896 15.1206782645798 12.3422903930295
"77" 3.1 NA NA 13.9413840102602 14.2176166992493 10.4776635813003
"122" -1.6 4.4 0.25 9.32830784293717 16.0243031382933 12.8716180254209
"123" 4.95 2.29 3.29 13.2162117824008 12.2417029438342 11.0311236838233
"124" 0.8 6.92 -1.53 7.43947460479834 15.3014386004283 14.14549908695
"125" 0.8 NA NA 7.12575277732179 13.7422010719046 13.003165374385
"126" -2.55 6.3 2.21 8.11308346182972 15.9628878574207 13.616570091794
"127" 0.7 -0.63 2.31 13.6123780874057 15.7622603959023 12.1282712527714
"128" 3 2.09 2.63 11.1744455566685 13.5739915731836 12.8641766052177
"129" 0.65 7.68 0.72 6.98786475546968 15.7860299082452 13.0760824915731
"130" -1.15 1.89 2.13 7.77139032662602 15.8045979069697 12.6206765661079
"131" 1.2 0.2 4.61 11.625379757283 15.9628878574207 12.4865130863957
"132" 6.95 NA NA 7.00221209211497 10.5768048509897 12.6218443614012
"133" 0.3 NA NA 10.4871674559505 15.7140048755072 12.921342996415
"134" 0.7 2.15 0.68 11.3571918274971 14.5397678985813 12.4465233902909
"135" 0.4 NA NA 8.47961566123249 15.8564717824438 13.0589541061689
"136" -0.1 NA NA 6.8300577012145 16.0979177074689 13.4446362124767
"137" 0.6 NA NA 11.0894310813054 15.291726935237 12.9792111918291
"138" -1.9 0.6 2.3 11.2071315666817 16.2952637810262 12.4899287530926
"139" -1.4 NA NA 6.74737760769265 16.2952637810262 12.0563190918133
"140" 2.3 NA NA 11.8003958214343 16.7478173639392 13.2244559967817
"141" 1.3 -0.31 8.29 14.4401856057963 15.545168736729 11.0894310813054
"142" -1.8 NA NA 7.46843773626754 16.4044719669668 13.0684955568844
"143" -0.9 NA NA 7.37867869204253 16.3280126224951 13.3271226363408
"144" 0.1 5.56 2.94 7.74024807371862 16.0930587174487 12.7129806084247
"145" -0.5 NA NA 9.67933303148073 16.2187131079515 12.3379003996458
"146" -0.2 5.45 1.99 8.63978767223301 15.2819057898862 12.8686614933909
"147" 5.6 3.11 3.49 12.2163533023507 12.5112777318532 12.2697150818268
"148" -1.5 2.33 -0.29 9.66714573829484 15.1931684425801 12.386642182318
"149" 3.75 5.54 2.39 9.27513841366503 11.9426618931247 12.2691966115641
