Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
MIP1α.P,Nicaragua,FLU09,3.392071128907456e-81,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,0.8510786334440726,7.598239328752702e-78,True
MIP1α.P,Nicaragua,,,{},{},4.342945178152238e-11,,,False
MIP1α.P,Memphis,Hopkins,1.0445380078425637e-89,{},"{'Female': 146, 'Male': 106}",4.342945178152236e-11,0.32198493931068384,2.3397651375673426e-86,True
MIP1α.P,Memphis,FLU09,3.48129778853715e-258,{},"{'Female': 194, 'Male': 114}",4.342945178152236e-11,0.8510786334440726,7.798107046323216e-255,True
MIP1α.P,Memphis,,,{},{},4.342945178152236e-11,,,False
MIP1α.P,Hopkins,FLU09,3.283780925771871e-18,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.32198493931068384,0.8510786334440726,7.355669273728991e-15,True
MIP1α.P,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.32198493931068384,,,False
MIP1α.P,FLU09,,,"{'Female': 194, 'Male': 114}",{},0.8510786334440726,,,False
MIP1β.N,Taiwan,SHIVERS,,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,4.342945178152237e-11,,False
MIP1β.N,Taiwan,PICFLU,1.7183065336425527e-23,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,1.090439882540499,3.849006635359318e-20,True
MIP1β.N,Taiwan,Nicaragua,6.908268359556572e-38,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,4.342945178152238e-11,1.547452112540672e-34,True
MIP1β.N,Taiwan,Memphis,2.8232794641097367e-41,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,4.342945178152236e-11,6.32414599960581e-38,True
MIP1β.N,Taiwan,Hopkins,1.3227636573093767e-16,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.3894955028539217,2.962990592373004e-13,True
MIP1β.N,Taiwan,FLU09,1.2755034567321935e-50,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",4.342945178152237e-11,1.0105766397896585,2.8571277430801133e-47,True
MIP1β.N,Taiwan,,,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,,,False
MIP1β.N,SHIVERS,PICFLU,6.3453657010469316e-12,{},{},4.342945178152237e-11,1.090439882540499,1.4213619170345127e-08,True
MIP1β.N,SHIVERS,Nicaragua,4.532239002070038e-19,{},{},4.342945178152237e-11,4.342945178152238e-11,1.0152215364636885e-15,True
MIP1β.N,SHIVERS,Memphis,3.981248033407815e-20,{},{},4.342945178152237e-11,4.342945178152236e-11,8.917995594833506e-17,True
MIP1β.N,SHIVERS,Hopkins,1.6132464640968784e-08,{},"{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.3894955028539217,3.613672079577008e-05,True
MIP1β.N,SHIVERS,FLU09,6.698778091991518e-26,{},"{'Female': 194, 'Male': 114}",4.342945178152237e-11,1.0105766397896585,1.5005262926061e-22,True
MIP1β.N,SHIVERS,,,{},{},4.342945178152237e-11,,,False
MIP1β.N,PICFLU,Nicaragua,3.037399492056529e-45,{},{},1.090439882540499,4.342945178152238e-11,6.803774862206625e-42,True
MIP1β.N,PICFLU,Memphis,1.2158363088058763e-148,{},{},1.090439882540499,4.342945178152236e-11,2.723473331725163e-145,True
MIP1β.N,PICFLU,Hopkins,5.081201088205254e-12,{},"{'Female': 146, 'Male': 106}",1.090439882540499,0.3894955028539217,1.1381890437579769e-08,True
MIP1β.N,PICFLU,FLU09,0.41738429712745173,{},"{'Female': 194, 'Male': 114}",1.090439882540499,1.0105766397896585,1.0,False
MIP1β.N,PICFLU,,,{},{},1.090439882540499,,,False
MIP1β.N,Nicaragua,Memphis,7.4738438592408245e-261,{},{},4.342945178152238e-11,4.342945178152236e-11,1.6741410244699446e-257,True
MIP1β.N,Nicaragua,Hopkins,6.493449199633998e-32,{},"{'Female': 146, 'Male': 106}",4.342945178152238e-11,0.3894955028539217,1.4545326207180156e-28,True
MIP1β.N,Nicaragua,FLU09,4.898254633404054e-95,{},"{'Female': 194, 'Male': 114}",4.342945178152238e-11,1.0105766397896585,1.0972090378825081e-91,True
MIP1β.N,Nicaragua,,,{},{},4.342945178152238e-11,,,False
MIP1β.N,Memphis,Hopkins,7.891574700442572e-105,{},"{'Female': 146, 'Male': 106}",4.342945178152236e-11,0.3894955028539217,1.7677127328991363e-101,True
MIP1β.N,Memphis,FLU09,3.369291072442811e-299,{},"{'Female': 194, 'Male': 114}",4.342945178152236e-11,1.0105766397896585,7.547212002271897e-296,True
MIP1β.N,Memphis,,,{},{},4.342945178152236e-11,,,False
MIP1β.N,Hopkins,FLU09,5.343705400366893e-21,"{'Female': 146, 'Male': 106}","{'Female': 194, 'Male': 114}",0.3894955028539217,1.0105766397896585,1.1969900096821841e-17,True
MIP1β.N,Hopkins,,,"{'Female': 146, 'Male': 106}",{},0.3894955028539217,,,False
MIP1β.N,FLU09,,,"{'Female': 194, 'Male': 114}",{},1.0105766397896585,,,False
MIP1β.P,Taiwan,SHIVERS,8.529306941987411e-156,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,1.1430905701095475,1.91056475500518e-152,True
MIP1β.P,Taiwan,PICFLU,3.3550312191757783e-93,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,1.1103825993879008,7.515269930953743e-90,True
MIP1β.P,Taiwan,Nicaragua,6.908268359556572e-38,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,4.342945178152238e-11,1.547452112540672e-34,True
MIP1β.P,Taiwan,Memphis,2.8232794641097367e-41,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,4.342945178152236e-11,6.32414599960581e-38,True
MIP1β.P,Taiwan,Hopkins,2.1439798770927607e-17,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.4765508108897203,4.802514924687784e-14,True
MIP1β.P,Taiwan,FLU09,1.0121260566836687e-45,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",4.342945178152237e-11,0.9540766979675992,2.267162366971418e-42,True
MIP1β.P,Taiwan,,,"{'Female': 112, 'Male': 80}",{},4.342945178152237e-11,,,False
