Cell Total WBC x10^9/L,,,,,,Neutrophils %,,,,,,Lymphocytes %,,,,,,Monocytes %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uninfected,Time,,H3N2 Infected,Time,,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/mL,Uninfected,Time,10^9 cells/mL,H3N2 Infected,Time,10^9 cells/L,cells/mL,,,,,,,,,,,,,,,,,,,,,,,
2.515853354,bottom sd,,1.272198784,bottom sd,,3.001714869,bottom sd,,11.09954833,bottom sd,,4.105183942,bottom sd,,4.834469594,bottom sd,,1.114952852,bottom sd,,2.305432077,bottom sd,,,2.515853354,6.774496125,,1.272198784,1.46170859,,,0.000886832,,,0.011960953,,,0.001715085,,,0.002476665,,,0.000136179,,,0.000474622
6.298746809,1,6.298746809,5.748767513,1,,52.42661177,1,,67.78014125,1,,35.32126085,1,,20.75460972,1,,8.366003906,1,,9.288698328,1,,,6.298746809,1,,5.748767513,1,,3.302219536,1,,3.89652274,,,2.224796791,,,1.193134261,,,0.526953404,,,0.533985672,
1.250485921,top sd,1.310013368,0.859083417,top sd,,3.045008833,top sd,,10.42313832,top sd,,3.482020554,top sd,,5.533594848,top sd,,1.302516964,top sd,,2.412671179,top sd,,,1.250485921,Var,,0.859083417,Var,,3.085975165,Var,,10.54533903,Var,,3.779618346,Var,,5.611461895,Var,,1.349251515,Var,,2.465560504,Var
1.369540815,bottom sd,,0.800613344,bottom sd,,3.126941497,bottom sd,,10.66753974,bottom sd,,4.077216138,bottom sd,,5.689328942,bottom sd,,1.395986066,bottom sd,,2.518449828,bottom sd,,,1.369540815,1.716135024,,0.800613344,0.688648335,,,0.000952324,,,0.011120418,,,0.001428551,,,0.00314885,,,0.000182048,,,0.000607899
5.869123683,2,5.869123683,4.952057299,2,,49.51660562,2,,63.63341975,2,,38.57542219,2,,21.52522498,2,,8.305290718,2,,12.64962189,2,,,5.869123683,2,,4.952057299,2,,2.906190827,2,,3.151163407,,,2.26403924,,,1.065941475,,,0.487447784,,,0.626416524,
1.375476927,top sd,1.413535762,1.297733709,top sd,,2.667001316,top sd,,10.58266225,top sd,,4.3233517,top sd,,9.065469573,top sd,,1.266735824,top sd,,2.442923456,top sd,,,1.375476927,Var,,1.297733709,Var,,2.955394982,Var,,10.67899516,Var,,4.232913899,Var,,9.133938873,Var,,1.327083899,Var,,2.430248796,Var
1.451594598,bottom sd,,1.381007001,bottom sd,,3.243788648,bottom sd,,10.77532806,bottom sd,,4.142476097,bottom sd,,9.202408173,bottom sd,,1.387431974,bottom sd,,2.417574135,bottom sd,,,1.451594598,1.998083352,,1.381007001,1.793912948,,,0.000873436,,,0.011404094,,,0.001791756,,,0.008342884,,,0.000176115,,,0.000590611
6.231331335,3,6.231331335,4.108587799,3,,50.23817169,3,,53.29655413,3,,37.5360771,3,,29.95366156,3,,8.033646142,3,,14.37702685,3,,,6.231331335,3,,4.108587799,3,,3.130506935,3,,2.18973572,,,2.338997334,,,1.230672484,,,0.500603109,,,0.590692771,
1.509088364,top sd,1.511975702,0.920156042,top sd,,3.124148338,top sd,,13.78596438,top sd,,4.011578589,top sd,,3.970548132,top sd,,1.241177866,top sd,,2.900671689,top sd,,,1.509088364,Var,,0.920156042,Var,,3.052922784,Var,,13.94163558,Var,,4.164481143,Var,,4.079125674,Var,,1.245872185,Var,,2.908860667,Var
1.514863039,bottom sd,,1.004162438,bottom sd,,2.981697229,bottom sd,,14.09730678,bottom sd,,4.317383697,bottom sd,,4.187703216,bottom sd,,1.250566504,bottom sd,,2.917049645,bottom sd,,,1.514863039,2.286070522,,1.004162438,0.925750403,,,0.000932034,,,0.01943692,,,0.00173429,,,0.001663927,,,0.00015522,,,0.000846147
