group,xi,a,tau,d_E,delta_E,K_delta_E,SSE,AIC
"(1, 1, 0, 0, 0, 0)",1.3346533143602646,2.2267688960697893,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.93030361560759,-29.838582686546992
"(0, 0, 0, 1, 1, 1)",1.3176498028527235,2.298793682762233,23.988328926813182,3.733125377410452,1090669.4152830115,inf,1.54016219735291,-31.451215814462103
"(0, 0, 1, 0, 1, 1)",1.3176498028527235,2.298793682762233,4.180260468062866,17.78279410038923,59.496689886457645,inf,1.35604605048588,-33.488249164206614
"(0, 0, 1, 1, 0, 1)",1.3176498028527235,2.298793682762233,25.750681317583926,3.4238981128312496,868960688.7966979,inf,1.55496907608476,-31.29812901709664
"(0, 0, 1, 1, 1, 0)",1.3176498028527235,2.298793682762233,15.602629764059806,3.220045051489241,10636.53066735484,inf,1.85791654848718,-28.450127960911175
"(0, 1, 0, 0, 1, 1)",1.3176498028527235,8.301264595304728,23.988328926813182,17.78279410038923,3523.42816263758,inf,1.28086051025572,-34.4009055447307
"(0, 1, 0, 1, 0, 1)",1.3176498028527235,1.965174734881771,23.988328926813182,3.945680368040437,868960688.7966979,inf,1.73997129986473,-29.499521655679864
"(0, 1, 0, 1, 1, 0)",1.3176498028527235,7.662160185872193,23.988328926813182,4.143237752488377,315.0010768701564,inf,1.15448733185006,-36.0629175253265
"(0, 1, 1, 0, 0, 1)",1.3176498028527235,9.896091661923444,82.06457691119465,17.78279410038923,868960688.7966979,inf,1.73708020655193,-29.52612897143551
"(0, 1, 1, 0, 1, 0)",1.3176498028527235,4.175468751037253,3.966141361702158,17.78279410038923,9.341955651275834,inf,1.54492163139508,-31.401848595083337
"(0, 1, 1, 1, 0, 0)",1.3176498028527235,6.2394792230741345,104.70653351162571,5.611922174993651,868960688.7966979,inf,1.78459508992423,-29.094354769902907
"(1, 0, 0, 0, 1, 1)",4.86116288164144,2.298793682762233,23.988328926813182,17.78279410038923,37.384349279140146,inf,1.19409610632955,-35.52318751112524
"(1, 0, 0, 1, 0, 1)",1.3142649942906754,2.298793682762233,23.988328926813182,5.586621064609089,868960688.7966979,inf,1.64805122147102,-30.36792336393294
"(1, 0, 0, 1, 1, 0)",3.0147443538459617,2.298793682762233,23.988328926813182,103.09235309212875,1267.5735804532778,inf,1.23917828541652,-34.93024376542184
"(1, 0, 1, 0, 0, 1)",3.191960948003577,2.298793682762233,182.9006813974812,17.78279410038923,868960688.7966979,inf,1.8176230143019,-28.80094577371822
"(1, 0, 1, 0, 1, 0)",4.006994481968909,2.298793682762233,16.88764331833328,17.78279410038923,19.533567230992585,inf,1.33042530902239,-33.793440798486294
"(1, 0, 1, 1, 0, 0)",4.43096352595854,2.298793682762233,633.595507675839,3.6215679536686682,868960688.7966979,inf,1.75545204837783,-29.3577971370569
"(1, 1, 0, 0, 0, 1)",1.2906264470542592,3.4642579458249467,23.988328926813182,17.78279410038923,868960688.7966979,inf,1.68849751354934,-29.979994143631735
"(1, 1, 0, 0, 1, 0)",2.3709913919737207,5.600319490221155,23.988328926813182,17.78279410038923,22.07368303269324,inf,1.32687257616366,-33.83622392786436
"(1, 1, 0, 1, 0, 0)",1.5306980321872798,1.4120543430290966,23.988328926813182,3.38006380178884,868960688.7966979,inf,1.93462143463888,-27.802832894587752
"(1, 1, 1, 0, 0, 0)",2.3693028915273486,4.848780038397969,359.86782570516436,17.78279410038923,868960688.7966979,inf,1.82338777772675,-28.75028056169956
"(0, 0, 1, 1, 1, 1)",1.3176498028527235,2.298793682762233,3.2141119389323474,3.8749337386403604,6.880205461502024,inf,1.55755762256148,-29.271516070647607
"(0, 1, 0, 1, 1, 1)",1.3176498028527235,6.5452359027596,23.988328926813182,6.758974452879603,1108.1037028613061,inf,1.32048266812453,-31.91346231692603
"(0, 1, 1, 0, 1, 1)",1.3176498028527235,5.175464529310097,9.704134039333457,17.78279410038923,174.44407804524124,inf,1.60480399876347,-28.79339347624702
"(0, 1, 1, 1, 0, 1)",1.3176498028527235,2.0736306334513137,18.65230431112609,10.840481497559836,868960688.7966979,inf,1.77260595765994,-27.20220745521152
"(0, 1, 1, 1, 1, 0)",1.3176498028527235,1.5282225477560598,5.74341946924731,8.333040236043972,9720.629236238728,inf,1.4621498316731,-30.28289411390076
"(1, 0, 0, 1, 1, 1)",2.2583189294142816,2.298793682762233,23.988328926813182,6.108715334796749,201.67206776158392,3.3535266289046876e+229,1.11917326734026,-34.55997541861093
"(1, 0, 1, 0, 1, 1)",1.7173210886232573,2.298793682762233,11.767345912219447,17.78279410038923,687.6663980714274,inf,1.10748033803578,-34.72802004682858
"(1, 0, 1, 1, 0, 1)",1.6620343635463721,2.298793682762233,45.332303372159046,8.278168330817577,868960688.7966979,inf,1.62372788014717,-28.60582489641635
"(1, 0, 1, 1, 1, 0)",4.875374444278271,2.298793682762233,21.660668848114117,62493.18370920074,17952.82394310359,inf,1.45569577788955,-30.353675808868033
"(1, 1, 0, 0, 1, 1)",2.0711592407108603,5.904549684577997,23.988328926813182,17.78279410038923,137.2208404900052,inf,1.1488271251404,-34.14155506383662
"(1, 1, 0, 1, 0, 1)",1.3243319637673607,3.002300483773421,23.988328926813182,19.316859911758787,868960688.7966979,inf,1.78962693557156,-27.04930463984857
"(1, 1, 0, 1, 1, 0)",3.961482568087003,1.417852689048117,23.988328926813182,8.037010926084164,3013.5671952883235,inf,1.29914247895947,-32.17414891191282
"(1, 1, 1, 0, 0, 1)",3.152996877175982,1.5120180129949494,54.1646268602987,17.78279410038923,868960688.7966979,inf,1.7641206151399,-27.27898225700897
"(1, 1, 1, 0, 1, 0)",4.835778691355591,1.3429929049806018,4.960797615680469,17.78279410038923,10.374261936522627,inf,1.5224312085231,-29.6364829743155
"(1, 1, 1, 1, 0, 0)",1.2504252348700355,3.131825291301718,47.30264629046521,3.3266453194816603,868960688.7966979,inf,1.8956354042598,-26.128554147676525
"(0, 1, 1, 1, 1, 1)",1.317917011985307,6.347056186409423,481.1286605307143,3.4434762769885463,12639027497.785105,inf,4.51155676640502,-10.255143156246213
"(1, 0, 1, 1, 1, 1)",4.392145727698491,2.298793682762233,12.790658046284692,45.959020835522736,16.33053417644141,inf,1.18126641113921,-31.69602607172113
"(1, 1, 0, 1, 1, 1)",9.219314183097584,1.844950607739418,23.988328926813182,11.035985010755587,33.94762964284158,inf,1.1910795606675,-31.563658120475736
"(1, 1, 1, 0, 1, 1)",1.2790874803847991,5.900154403217332,7.974297710963688,17.78279410038923,58.93190573597827,inf,1.08546007905503,-33.04935662607672
"(1, 1, 1, 1, 0, 1)",1.683838481698899,2.1759846140953587,40.694217957179234,30.569331990645072,868960688.7966979,inf,1.849756121169,-24.520558691752733
"(1, 1, 1, 1, 1, 0)",5.2103405372479,1.2040898382866387,7.2996428981928725,19.893522674900712,278.6089941266589,inf,1.17361357992788,-31.800019252603732
"(1, 1, 1, 1, 1, 1)",3.1468600557503392,1.1968799120447375,5.783867200663598,3.67187688048704,58.27349713669691,inf,1.01266463634928,-32.160057786528505
