group,xi,a,tau,d_E,delta_E,K_delta_E,SSE,AIC
"(1, 1, 0, 1, 0, 0)",0.184889523886039,0.14985141089674803,1.37999999523163,0.5289248980597,8.93900012969971,inf,1.93462143463888,-27.802832894587752
"(1, 1, 1, 0, 0, 0)",0.374620584450198,0.68563248308918,2.55614301991402,1.25,8.93900012969971,inf,1.82338777772675,-28.75028056169956
"(0, 0, 1, 1, 1, 1)",0.11980000138282802,0.36149999499321,0.507060998007308,0.588264280471001,0.837601407634381,inf,1.55755762256148,-29.271516070647607
"(0, 1, 0, 1, 1, 1)",0.11980000138282802,0.815925303968588,1.37999999523163,0.829880804929307,3.04458040612609,inf,1.32048266812453,-31.91346231692603
"(0, 1, 1, 0, 1, 1)",0.11980000138282802,0.713949336440449,0.986956786636427,1.25,2.24165623078655,inf,1.60480399876347,-28.79339347624702
"(0, 1, 1, 1, 0, 1)",0.11980000138282802,0.316731400008689,1.27073249232635,1.03504857252425,8.93900012969971,inf,1.77260595765994,-27.20220745521152
"(0, 1, 1, 1, 1, 0)",0.11980000138282802,0.18418660307778897,0.759170536031608,0.920803478819496,3.98769437860748,inf,1.4621498316731,-30.28289411390076
"(1, 0, 0, 1, 1, 1)",0.353785274836001,0.36149999499321,1.37999999523163,0.785949887546897,2.30464575117731,229.52550175923503,1.11917326734026,-34.55997541861093
"(1, 0, 1, 0, 1, 1)",0.23485150307018904,0.36149999499321,1.07067852013683,1.25,2.83737780362268,inf,1.10748033803578,-34.72802004682858
"(1, 0, 1, 1, 0, 1)",0.22063999883695304,0.36149999499321,1.65640778648432,0.917934253231923,8.93900012969971,inf,1.62372788014717,-28.60582489641635
"(1, 0, 1, 1, 1, 0)",0.688007976514318,0.36149999499321,1.33567186284149,4.79583265032139,4.25413277193635,inf,1.45569577788955,-30.353675808868033
"(1, 1, 0, 0, 1, 1)",0.3162134908313459,0.771186781380467,1.37999999523163,1.25,2.13742007509135,inf,1.1488271251404,-34.14155506383662
"(1, 1, 0, 1, 0, 1)",0.12199686120764701,0.477454156233049,1.37999999523163,1.28593653026627,8.93900012969971,inf,1.78962693557156,-27.04930463984857
"(1, 1, 0, 1, 1, 0)",0.597857749218738,0.151631111201848,1.37999999523163,0.905094558739074,3.4790808796325603,inf,1.29914247895947,-32.17414891191282
"(1, 1, 1, 0, 0, 1)",0.498723540609652,0.17955696503933502,1.73371575564144,1.25,8.93900012969971,inf,1.7641206151399,-27.27898225700897
"(1, 1, 1, 0, 1, 0)",0.684466417225473,0.12807371830094696,0.695551509602992,1.25,1.0159572091627,inf,1.5224312085231,-29.6364829743155
"(1, 1, 1, 1, 0, 0)",0.09705772960983619,0.495797526968311,1.67488543750734,0.522006499695645,8.93900012969971,inf,1.8956354042598,-26.128554147676525
"(0, 1, 1, 1, 1, 1)",0.11988806399732099,0.802572342860918,2.68226122832139,0.536997095363024,10.101713658709501,inf,4.51155676640502,-10.255143156246213
"(1, 0, 1, 1, 1, 1)",0.642676741206464,0.36149999499321,1.1068928883816,1.66237076739964,1.21300039086567,inf,1.18126641113921,-31.69602607172113
"(1, 1, 0, 1, 1, 1)",0.964698615459886,0.265984743897056,1.37999999523163,1.04281110194211,1.53080945552454,inf,1.1910795606675,-31.563658120475736
"(1, 1, 1, 0, 1, 1)",0.10690024811365403,0.770863376996018,0.901692445499335,1.25,1.77035048550779,inf,1.08546007905503,-33.04935662607672
"(1, 1, 1, 1, 0, 1)",0.226300430470574,0.33765582023703006,1.60953270682526,1.48528594850867,8.93900012969971,inf,1.849756121169,-24.520558691752733
"(1, 1, 1, 1, 1, 0)",0.716866108830145,0.08065889125452508,0.863301614759124,1.29871169327075,2.44499513231956,inf,1.17361357992788,-31.800019252603732
"(1, 1, 1, 1, 1, 1)",0.497877429800163,0.07805057801491778,0.76221831286858,0.564888110704172,1.76547108195828,inf,1.01266463634928,-32.160057786528505
