id,E0,T0,I10,beta,k,p,c,delta,xi,a,tau,d_E,delta_E,K_delta_E,V_sse,C_sse,sse,PID,AIC
9114,525965.4015,400000000.0,75.0,8.530264235055331e-05,4.0,0.177423270963761,52.097181423595664,0.48515467909384546,0.11121889281300393,0.8899137386935295,1.3437279699954552,9.224124864353357,24.55578496428425,62327.27545378494,24.56281205992792,0.2690762985596281,24.83188835848755,103.0,-9.137614748076693
690,525965.4015,400000000.0,75.0,7.74492293260553e-05,4.0,0.17336782218788005,8.995289334445054,0.48515467909384546,0.24264200018203466,0.5998987123975116,1.5677887521809526,8.11394419122923,87.87974656678882,14146.239061761047,76.71092080037678,0.26916787120073504,76.98008867157752,103.0,-9.134892633552909
2130,525965.4015,400000000.0,75.0,7.407411112409789e-05,4.0,0.13946017823149845,7.45443162721693,0.48515467909384546,0.05332204969841657,0.8120850384681351,1.1239562533188683,6.919012377673359,66.87887180370383,34770.07561513527,41.06754501674398,0.2696469268374522,41.33719194358143,103.0,-9.120667166407166
3498,525965.4015,400000000.0,75.0,9.417428118912587e-05,4.0,0.18582098481624662,9.689967353874703,0.48515467909384546,0.9760588485463169,0.08410607528256046,1.4168136462672944,5.355324203441728,64.49732930479729,17203.823016832073,75.56549371555556,0.27025200532247257,75.83574572087804,103.0,-9.102735551364145
4860,525965.4015,400000000.0,75.0,0.00014901981781820448,4.0,0.1877993942040011,6.81599638145899,0.48515467909384546,0.04857888057172437,0.2930467214132892,1.0549880799355835,2.647080767659109,60.51365821571725,11787.19008183475,35.04093533439755,0.2704958701751331,35.311431204572685,103.0,-9.095519918933785
5604,525965.4015,400000000.0,75.0,0.00013862056852843987,4.0,0.18308617687238385,45.61534304190118,0.48515467909384546,0.24897273653233307,0.5307927770105844,1.532275289767172,8.698193661422355,19.45009209820741,20851.126719561576,26.739659541740433,0.27056923906782543,27.01022878080826,103.0,-9.093350305202982
1008,525965.4015,400000000.0,75.0,0.0002074951684982222,4.0,0.2260394305815218,12.108136620226555,0.48515467909384546,0.09608013748413732,0.802956563637181,1.6949166538650675,6.8484852048665195,1.3070683338102644,8174.397224685072,77.52925308256803,0.2710809721743691,77.80033405474241,103.0,-9.07823403279906
105,525965.4015,400000000.0,75.0,3.203660887736026e-05,4.0,0.14259654991740206,7.5914510859422375,0.48515467909384546,0.11796770898671274,0.8966755719016437,1.31130263474809,9.848912642277469,39.209678043680505,48074.42614939594,15.87946594568152,0.2712284881839368,16.150694433865457,103.0,-9.073881801492348
1125,525965.4015,400000000.0,75.0,3.667595733770257e-05,4.0,0.24983243110737346,5.360399447840571,0.48515467909384546,0.8092474618726422,0.16923755537271828,1.6793044554126324,9.725993855385552,28.19684818510054,28829.559150424055,29.285684979085186,0.2720196442376797,29.557704623322866,103.0,-9.050580284094096
9543,525965.4015,400000000.0,75.0,6.0417906580621725e-05,4.0,0.11317872472513604,10.261688420761045,0.48515467909384546,0.03865477417688219,0.8965403352374816,1.2500547792808445,4.327524009478531,50.204275997962625,28353.41162267589,36.9812001274146,0.2732682226360716,37.25446835005067,103.0,-9.013944058530335
3504,525965.4015,400000000.0,75.0,0.00021067353170229646,4.0,0.09765161060180827,45.136857514579916,0.48515467909384546,0.19751425814888632,0.877742438918924,1.7937367231903714,8.952210016590517,90.54996088374465,69874.80651168253,113.22676644199514,0.2735200373591218,113.50028647935426,103.0,-9.006575509956008
5991,525965.4015,400000000.0,75.0,6.261856465757711e-05,4.0,0.13032083879997886,19.9634148277924,0.48515467909384546,0.024636009811784057,0.7717845125477745,1.0014605423843772,2.3285824259246946,89.51074233876726,6764.975199952337,103.00062910730048,0.2743466768867894,103.27497578418728,103.0,-8.98243415926682
1233,525965.4015,400000000.0,75.0,2.5146066221938157e-05,4.0,0.26962782414720105,12.22476751300327,0.48515467909384546,0.012603790363608945,0.6787416876041231,0.8942339046616082,1.5549171201932022,83.59297006875705,33427.98611556624,80.73940132828726,0.27504265119795224,81.01444397948521,103.0,-8.962165118049185
9530,525965.4015,400000000.0,75.0,8.886270986969841e-05,4.0,0.06208363530559843,7.163004506758718,0.48515467909384546,0.3688034518149384,0.20926760796475435,1.3950251934820277,7.765219918291885,99.29291865724241,77159.23826449097,42.093529785710615,0.2758451287244486,42.36937491443506,103.0,-8.938857921967355
3056,525965.4015,400000000.0,75.0,0.00020738642919928304,4.0,0.04665188513961777,23.393529278927794,0.48515467909384546,0.24720533767865838,0.31468458767925467,1.55063249014531,5.744231184919441,70.94914443819866,10767.718472869772,73.99964615837038,0.27711711193274985,74.27676327030314,103.0,-8.902052936503555
6111,525965.4015,400000000.0,75.0,6.421412002000311e-05,4.0,0.225441750099402,28.736910720091167,0.48515467909384546,0.0813805846760609,0.8610407108948819,1.5411965460257062,4.879651019452071,9.70741823904426,3875.254554021057,14.222109339775182,0.27948766647107026,14.501597006246252,103.0,-8.833909249251814
7280,525965.4015,400000000.0,75.0,0.00020984690358010546,4.0,0.07673009406767942,7.321288810415667,0.48515467909384546,0.10320294806013454,0.28912485815258293,0.7278181629158711,6.447369317844095,13.557388696606745,43717.46442529789,36.46586069779488,0.2810787346527898,36.74693943244767,103.0,-8.788495968651674
7350,525965.4015,400000000.0,75.0,0.00010115961885262272,4.0,0.14647412296055606,5.491470559952329,0.48515467909384546,0.10744465476003304,0.9273066763344011,2.0035578078862852,4.220725719228175,72.51860753317183,49815.64299644019,23.23858654553674,0.28156714907945335,23.520153694616194,103.0,-8.774606890253626
2624,525965.4015,400000000.0,75.0,0.000199705117322064,4.0,0.04762533958510955,32.09848348843059,0.48515467909384546,0.026923141406557806,0.8753081789640029,0.8815382707552325,4.180543010687808,65.2911768044328,18098.882473337104,86.88768072485163,0.2817981750414107,87.16947889989305,103.0,-8.76804557836548
7226,525965.4015,400000000.0,75.0,8.920106707692298e-05,4.0,0.08360285529694063,25.335785263016124,0.48515467909384546,0.05417622267289085,0.4259843622848144,1.0356015038353068,3.74114094414167,85.95628066336575,99092.8887077738,77.50376667992256,0.2821124494956543,77.78587912941822,103.0,-8.759128577036364
1467,525965.4015,400000000.0,75.0,5.1511206541039e-05,4.0,0.23445107944452903,66.76676400610886,0.48515467909384546,0.21668047964331075,0.20068007979044933,0.9165370453079442,6.52406020995506,30.333019638665196,2631.118806717547,64.94885341376919,0.2821356350302906,65.23098904879947,103.0,-8.75847112056542
3192,525965.4015,400000000.0,75.0,0.0001715415470737738,4.0,0.15356951936910587,68.82026539026695,0.48515467909384546,0.11745166469827571,0.9171639265222298,1.81157923570744,5.506453859456383,74.24000316396044,2578.8635793570757,82.87124166450714,0.28220468404886845,83.153446348556,103.0,-8.756513464404044
2646,525965.4015,400000000.0,75.0,9.708145758493499e-05,4.0,0.1961335315602093,17.04931674797977,0.48515467909384546,0.11024797727231156,0.8998536335094576,1.6933725902818597,8.35978176501307,51.579265447092084,5753.233120620347,53.52659668839064,0.2822085648485274,53.808805253239164,103.0,-8.75640345140441
2588,525965.4015,400000000.0,75.0,0.0001476590501461386,4.0,0.041280579572189946,16.01937453636799,0.48515467909384546,0.5521779816930076,0.1062172698730939,1.374437679039256,6.000144069104256,29.091730821053304,40668.53847273767,18.493451080771898,0.28232132200693044,18.775772402778827,103.0,-8.753207669213868
5400,525965.4015,400000000.0,75.0,0.0001681142840841827,4.0,0.19853687981895776,5.226441003178628,0.48515467909384546,0.33645782639216515,0.4549250084155432,2.072011293408501,8.448325963478126,27.186496821928067,2386.330883594999,29.947957665232618,0.28240837094080223,30.23036603617342,103.0,-8.750741386724435
50,525965.4015,400000000.0,75.0,7.793794622166132e-05,4.0,0.0422984520343842,5.051085485683798,0.48515467909384546,0.017295929374065988,0.8230392082652801,0.9053854749847763,3.134725791066396,7.398043694650035,96465.40140813886,60.41418225140259,0.2833052898146398,60.697487541217235,103.0,-8.72537393495264
5978,525965.4015,400000000.0,75.0,8.469001926467898e-05,4.0,0.03599010992002014,13.935136647928498,0.48515467909384546,0.10644833711930497,0.46087542163868367,0.9724664595441405,8.426160280595976,6.965035967576119,25852.1598529736,47.95644126703979,0.28393674438745214,48.24037801142725,103.0,-8.707562706712839
3536,525965.4015,400000000.0,75.0,0.00020033421191079944,4.0,0.06359200422109829,27.287156417283146,0.48515467909384546,0.012263130993411584,0.49765979429082496,0.6919615752613771,1.2103415044797892,63.94885285050365,1209.221536633414,112.91739840282204,0.284148652012891,113.20154705483493,103.0,-8.701594374863852
284,525965.4015,400000000.0,75.0,0.0001468100776542363,4.0,0.05497438202918468,38.91945622080121,0.48515467909384546,0.14428683333644166,0.35072515867850335,0.9366098718896466,7.176940323938369,20.56147859769713,78277.02937106819,21.588711222764644,0.2843509284959764,21.87306215126062,103.0,-8.6959014526931
7476,525965.4015,400000000.0,75.0,0.00013285797929687485,4.0,0.13833242381176925,25.094068170950248,0.48515467909384546,0.099128695718651,0.7465628746815084,1.2608632243632996,5.59096793376105,43.723593682756324,5392.661410127712,81.2776839227017,0.2845692725349647,81.56225319523666,103.0,-8.689760864278409
700,525965.4015,400000000.0,75.0,0.000151500878806673,4.0,0.019451644092688083,5.569937701675767,0.48515467909384546,0.09479877209180043,0.7471714396702388,1.1908656752578761,9.484186405762104,72.2481676194204,2030.2092588083437,13.019201109476985,0.28473648154995873,13.303937591026944,103.0,-8.68506155411399
