rep,id,eta_beta,eta_k,eta_delta,eta_delta_E,eta_Kd,eta_p,eta_c,eta_xi,eta_K_Ef,eta_eta,eta_tau_E,eta_d_E,eta_EB
1,308,0.285919,-0.486141,-1.27604,-0.78989,0.411766,0.249134,-0.00325964,-0.476018,0.424883,-0.0797076,-1.98716,-0.31545,0
2,308,0.0473537,-0.288667,-4.2431,-1.26456,1.14342,0.0453852,0.0909226,0.549627,1.08093,0.0300935,-0.67396,-0.880542,0
3,308,-0.0461834,1.1086,-0.679214,-0.24921,1.69696,-0.466634,-0.175043,0.85978,-0.337681,0.43821,-0.093863,1.92841,0
4,308,-0.0469582,0.164838,-0.912476,0.912039,1.14887,0.323013,-0.441279,-2.09414,1.3022,-1.73738,0.70269,-1.17249,0
5,308,-0.0115854,1.33964,-2.84929,-0.280671,-1.86156,-0.478157,0.220245,-0.526209,-0.332537,-1.00746,-1.35836,1.40196,0
6,308,-0.291824,-0.0238559,0.192032,-1.44455,-0.558578,0.390574,0.0449093,-0.797633,0.930738,0.840725,-0.00843638,0.0865227,0
7,308,0.0131826,-0.115075,1.50958,0.513822,-1.71602,-0.0419361,-0.0515431,-0.558843,0.921928,1.21183,0.626059,-0.186746,0
8,308,0.261842,-0.102061,-0.0987641,-2.53852,-0.764916,-0.619858,-0.107832,0.195654,0.568014,-1.18219,-0.600213,0.0476538,0
9,308,0.0754478,-0.338737,2.84154,0.00478016,1.24156,0.247047,0.0702327,0.32753,0.515334,0.176747,-0.286048,-0.376338,0
10,308,0.281534,1.10782,-0.655167,-1.21149,-0.0588624,-1.03876,0.150223,0.602269,1.40324,0.573813,-0.944993,1.83883,0
1,311,-0.0666027,0.191625,-0.0735558,2.616,-1.32104,0.0595474,0.319293,0.580969,0.433661,-2.81457,-0.283511,0.471587,0
2,311,0.150962,0.835462,-2.102,0.0430728,1.48828,-0.395601,-0.0935117,-0.268673,0.838141,1.92659,-0.154556,-1.35271,0
3,311,0.117098,0.304984,-0.679252,0.120323,0.37761,-0.544363,0.133224,1.29469,-1.17833,0.956121,-0.677122,-1.10835,0
4,311,0.134563,1.04449,-3.73436,0.800338,-0.280923,0.440783,0.135899,0.0790102,0.998703,1.35989,-0.402261,0.206468,0
5,311,0.174984,0.243155,2.20938,0.46491,-1.02579,-0.629448,-0.231105,-0.915783,-1.75788,0.927712,-2.05102,-1.59813,0
6,311,0.152346,1.08409,-1.571,0.337889,-0.784572,-0.567592,0.142609,1.72349,-1.38797,-0.163929,0.513716,-1.15014,0
