param_x,param_y,103.0,107.0,110.0,111.0,112.0,204.0,207.0,302.0,307.0,308.0,311.0,312.0,Population,Overall_minus_Pop
beta,p,-0.1567661902160743,-0.747199126580415,0.16426084201502292,-0.6423460208148619,0.49753579871005515,-0.9171335209582313,-0.940308608321492,-0.48668096783275006,-0.562225651176877,-0.12649907070445432,-0.8242033452310613,-0.17980943085921233,-0.2083125015367217,-0.5829003516162072
beta,c,0.04011877144705068,0.8174593520518596,0.6128923000589618,-0.21212444974222405,0.9159690545499944,0.07647203013216021,-0.31056699566146084,0.35297041492542824,-0.21910439016255998,0.6737820934259765,-0.3523809043740038,0.15676931195974558,0.5536907861282986,0.5208674354982737
beta,delta,0.34184871743244016,-0.7762083590457676,-0.6730382412891426,0.2746449916208548,-0.7829949596526892,-0.8829443513016979,-0.4901029776636762,-0.5870913148568236,0.08216142338214949,-0.7008856891808981,-0.24120536057726352,-0.09834230745475159,-0.47451327218510375,0.021989870138833748
beta,xi,-0.16550232786662233,-0.6734024340644376,-0.1763228257838803,0.053694330478879816,-0.1599317137711746,-0.11601920888361329,-0.32835575835706166,-0.15943788024242553,-0.12384317572100946,-0.5577679869393235,-0.27125152536136976,-0.0698861478939951,0.5480413768526519,0.148704678981497
beta,a,0.25394701788602053,0.48381755683638933,0.20648402504741467,-0.1679159476895279,-0.09564924276827749,0.08244031324164802,-0.39653163577489636,-0.16282751622266253,0.17009014700968966,0.3931052450963579,-0.2813372568087398,-0.31223562649097514,-0.5575545126097196,-0.12980627455379512
beta,d_E,0.04800100699822214,-0.7547870886906056,-0.3595722968332,0.1357022435226163,-0.4348028452719695,-0.3178945670398878,-0.2062888506752123,-0.34750704065787263,-0.2771343661512652,-0.5930392198180614,0.0386908244016278,0.010046599457690169,0.5703698503447933,-0.22261006401248568
beta,delta_E,0.22583504276167865,0.5968743794167023,0.5106128241078871,0.1505340110106443,0.278562768019151,-0.2320972211147575,0.3591305154292083,0.31225900531251777,-0.3670456924832749,0.6426333587382035,-0.2529208147059429,0.02016510926314688,0.26147751512553835,-0.3018270572645034
beta,K_delta_E,0.5295620743929474,0.12782213689585675,0.455012423398018,-0.033991951293892333,0.312853987221707,-0.12620314839801192,0.2560926479756958,-0.08449008973993233,0.1523088290696617,-0.5974484139548557,-0.3251569625530934,-0.09638818685625229,-0.30348683224442063,-0.130690930489271
beta,zeta,-0.3136848026260879,-0.320807206641067,0.2663881518005899,0.22425733781970048,-0.19284802566612622,-0.15587468391542172,-0.08770393795424647,-0.028308563752979275,-0.020604759911970694,0.34307328332255366,0.13201272320221033,-0.0008018168820607941,0.24082712645323096,-0.35664597686810184
beta,tau_memory,-0.16640638362663177,-0.3290993495323576,-0.14882512290184255,0.14289090554827963,0.13192749576058924,-0.019812995884073304,-0.1289734935739558,0.27921532438712093,-0.0527103291145217,-0.13613363637763454,0.21230425913891976,-0.18577583668944087,-0.1636955483267115,-0.12183020349958797
